id,text,referenceAnswer,keyPoints,questionScope
1,โครงการชลประทานตากมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานตาก"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานตาก | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
12,โครงการส่งน้ำและบำรุงรักษาวังบัวมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังบัว"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังบัว | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
13,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังยาง-หนองขวัญ | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
14,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังยาง-หนองขวัญ | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
15,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังยาง-หนองขวัญ | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
16,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังยาง-หนองขวัญ | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
17,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังยาง-หนองขวัญ | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
18,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",วังยาง-หนองขวัญ | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
19,โครงการชลประทานแพร่มีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานแพร่ | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
20,โครงการชลประทานแพร่มีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานแพร่ | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
21,โครงการชลประทานแพร่มีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานแพร่ | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
22,โครงการชลประทานแพร่มีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานแพร่ | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
23,โครงการชลประทานแพร่มีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานแพร่ | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
24,โครงการชลประทานแพร่มีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานแพร่"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานแพร่ | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
25,โครงการชลประทานกำแพงเพชรมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานกำแพงเพชร | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
26,โครงการชลประทานกำแพงเพชรมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานกำแพงเพชร | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
27,โครงการชลประทานกำแพงเพชรมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานกำแพงเพชร | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
28,โครงการชลประทานกำแพงเพชรมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานกำแพงเพชร | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
29,โครงการชลประทานกำแพงเพชรมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานกำแพงเพชร | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
30,โครงการชลประทานกำแพงเพชรมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานกำแพงเพชร"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานกำแพงเพชร | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
31,โครงการชลประทานสุโขทัยมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานสุโขทัย | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
32,โครงการชลประทานสุโขทัยมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานสุโขทัย | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
33,โครงการชลประทานสุโขทัยมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานสุโขทัย | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
34,โครงการชลประทานสุโขทัยมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานสุโขทัย | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
35,โครงการชลประทานสุโขทัยมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานสุโขทัย | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
36,โครงการชลประทานสุโขทัยมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการชลประทานสุโขทัย"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ชลประทานสุโขทัย | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
37,โครงการส่งน้ำและบำรุงรักษาแม่ยมมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาแม่ยม"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",แม่ยม | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
38,โครงการส่งน้ำและบำรุงรักษาแม่ยมมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาแม่ยม"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",แม่ยม | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
39,โครงการส่งน้ำและบำรุงรักษาแม่ยมมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาแม่ยม"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",แม่ยม | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
40,โครงการส่งน้ำและบำรุงรักษาแม่ยมมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาแม่ยม"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",แม่ยม | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
41,โครงการส่งน้ำและบำรุงรักษาแม่ยมมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาแม่ยม"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",แม่ยม | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
42,โครงการส่งน้ำและบำรุงรักษาแม่ยมมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาแม่ยม"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",แม่ยม | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
43,โครงการส่งน้ำและบำรุงรักษาท่อทองแดงมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาท่อทองแดง"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ท่อทองแดง | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
44,โครงการส่งน้ำและบำรุงรักษาท่อทองแดงมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาท่อทองแดง"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ท่อทองแดง | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
45,โครงการส่งน้ำและบำรุงรักษาท่อทองแดงมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาท่อทองแดง"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ท่อทองแดง | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
46,โครงการส่งน้ำและบำรุงรักษาท่อทองแดงมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาท่อทองแดง"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ท่อทองแดง | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
47,โครงการส่งน้ำและบำรุงรักษาท่อทองแดงมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาท่อทองแดง"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ท่อทองแดง | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
48,โครงการส่งน้ำและบำรุงรักษาท่อทองแดงมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาท่อทองแดง"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",ท่อทองแดง | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
49,โครงการส่งน้ำและบำรุงรักษาสุโขทัยมีปริมาณการใช้น้ำของพืชวันนี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",บำรุงรักษาสุโขทัย | ปริมาณการใช้น้ำของพืช | วันนี้ | ลบ.ม./วิ,specific
50,โครงการส่งน้ำและบำรุงรักษาสุโขทัยมีปริมาณการใช้น้ำของพืชช่วงนี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",บำรุงรักษาสุโขทัย | ปริมาณการใช้น้ำของพืช | ช่วงนี้ | ลบ.ม./วิ,specific
51,โครงการส่งน้ำและบำรุงรักษาสุโขทัยมีปริมาณการใช้น้ำของพืชสัปดาห์นี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาสุโขทัย"" — ในช่วงสัปดาห์ปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",บำรุงรักษาสุโขทัย | ปริมาณการใช้น้ำของพืช | สัปดาห์นี้| ลบ.ม./วิ,specific
52,โครงการส่งน้ำและบำรุงรักษาสุโขทัยมีปริมาณการใช้น้ำของพืชเดือนนี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาสุโขทัย"" — ในช่วงเดือนปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",บำรุงรักษาสุโขทัย | ปริมาณการใช้น้ำของพืช | เดือนนี้ | ลบ.ม./วิ,specific
53,โครงการส่งน้ำและบำรุงรักษาสุโขทัยมีปริมาณการใช้น้ำของพืชปีนี้เป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาสุโขทัย"" — ในช่วงปีปัจจุบัน — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",บำรุงรักษาสุโขทัย | ปริมาณการใช้น้ำของพืช | ปีนี้ | ลบ.ม./วิ,specific
54,โครงการส่งน้ำและบำรุงรักษาสุโขทัยมีปริมาณการใช้น้ำของพืชปีที่แล้วเป็นยังไง ,"ตอบจาก database (simsat) ของ ""โครงการส่งน้ำและบำรุงรักษาสุโขทัย"" — ในช่วงปีที่ผ่านมา — โดยรายงานค่า <ตัวเลข> ลบ.ม./วินาที — ยืนยันหน่วยให้ตรงกับคำถาม และสรุปสั้นกระชับ",บำรุงรักษาสุโขทัย | ปริมาณการใช้น้ำของพืช | ปีที่แล้ว | ลบ.ม./วิ,specific
