start_date,end_date,farmplot_batch_id,plot_name,rid_area_rai,analysis_area_rai,ldd_area_rai,total_wn_efficiency_4crop_pspa,total_wn_forecast_4crop_next7_pspa,total_wn_forecast_4crop_next14_pspa,area_rice_rai,area_maize_rai,area_cassava_rai,area_sugarcane_rai,coords
2026-05-04,2026-05-10,74513790-a4a8-4ed3-950c-5ff147827f20,โครงการส่งน้ำและบำรุงรักษาวังยาง - หนองขวัญ,706518.34,308695,503419,20.966357,20.518177,25.205169,282229.25,3560.75,11.25,22893.75,aaae9121-8990-4f0f-95f8-a9b168b538a7
2026-05-04,2026-05-10,ee44f6fc-c1aa-44a0-8f61-fd2e82befad6,โครงการชลประทานแพร่,80990.95,40231,79765,2.746156,2.363241,2.884216,30531,5461,10,4229,eef6fb97-0286-41e7-a364-473f4629e71d
2026-05-04,2026-05-10,5c388852-6015-4cf6-8714-3c435b8ae317,rid4,3265170.64,1708755.25,2506961,114.249282,116.593934,145.019414,1492161.75,40874.75,115.5,175603.25,94311ed7-0d46-4a5b-84a8-e6a6a231fd68
2026-05-04,2026-05-10,10fabd4d-633b-4448-bc25-4dc3aa4cdee8,โครงการส่งน้ำและบำรุงรักษาสุโขทัย,67576.88,40939.5,59971,2.757678,2.663779,3.238032,33481.5,0,1.75,7456.25,56211a7c-3e6d-44c4-8ba7-5c8fab401b69
2026-05-04,2026-05-10,df4b8eda-7cc0-40fb-9684-c01557ddd87a,โครงการชลประทานกำแพงเพชร,191532.51,100375.75,145944,6.956959,7.64137,9.37319,88843.75,740.75,10.5,10780.75,3aa22ee6-f0d9-473b-adf6-26a2d448cb54
2026-05-04,2026-05-10,b6e7bd3b-f170-4408-bbec-e8ee54e3d382,โครงการส่งน้ำและบำรุงรักษาท่อทองแดง,810012.63,452094.75,601044,28.62201,29.569482,38.485503,400778,3729.5,29,47558.25,c7544910-d6b5-44b6-a737-a904249f5352
2026-05-04,2026-05-10,a0292383-4653-4d0c-b8f0-cf1ddd5f3bb1,โครงการชลประทานตาก,76813.33,45012.75,50724,3.300605,3.28204,3.690311,27140.75,14669,3.25,3199.75,f1abf579-d5ec-434b-b780-09496db3078c
2026-05-04,2026-05-10,bce73258-fa11-4827-ba5d-937c3b471a12,โครงการส่งน้ำและบำรุงรักษาแม่ยม,197061.83,91855.25,179060,6.402403,5.990283,7.25204,77862.25,8269.75,17.25,5706,2d62a49f-0bac-40e9-be7c-e7d04269a590
2026-05-04,2026-05-10,a1b187ac-b5f4-4ced-8591-b4b3cc09d63a,โครงการส่งน้ำและบำรุงรักษาวังบัว,844134.56,450992,628858,31.726607,33.36663,40.253588,382157,4331.25,19.25,64484.5,5b0f75b1-6958-460a-91a5-bc71397b0d6b
2026-05-04,2026-05-10,e98d2019-210d-497e-9884-d530f1e717b8,โครงการชลประทานสุโขทัย,343295.44,211154.75,300305,12.924184,13.286374,17.219122,197805,223.75,14,13112,e72b7aec-7c94-4da4-b81c-fc3578f883a3
2026-04-27,2026-05-03,b6e7bd3b-f170-4408-bbec-e8ee54e3d382,โครงการส่งน้ำและบำรุงรักษาท่อทองแดง,810012.63,396861.75,601044,29.738119,20.22913,23.627957,,,,,c7544910-d6b5-44b6-a737-a904249f5352
2026-04-27,2026-05-03,bce73258-fa11-4827-ba5d-937c3b471a12,โครงการส่งน้ำและบำรุงรักษาแม่ยม,197061.83,85549.75,179060,7.165258,6.218271,7.27224,,,,,2d62a49f-0bac-40e9-be7c-e7d04269a590
2026-04-27,2026-05-03,a0292383-4653-4d0c-b8f0-cf1ddd5f3bb1,โครงการชลประทานตาก,76813.33,38313.75,50724,2.970734,2.680769,3.157535,,,,,f1abf579-d5ec-434b-b780-09496db3078c
2026-04-27,2026-05-03,e98d2019-210d-497e-9884-d530f1e717b8,โครงการชลประทานสุโขทัย,343295.44,193260.25,300305,13.611006,9.335377,11.656107,,,,,e72b7aec-7c94-4da4-b81c-fc3578f883a3
2026-04-27,2026-05-03,a1b187ac-b5f4-4ced-8591-b4b3cc09d63a,โครงการส่งน้ำและบำรุงรักษาวังบัว,844134.56,387406.25,628858,30.420154,24.626582,28.295091,,,,,5b0f75b1-6958-460a-91a5-bc71397b0d6b
